locationid,objectid,title,TypesofArt,constituentid,displaydate,forwarddisplayname,preferreddisplayname,displaydate_x,nationality,visualbrowsernationality,displayorder,roletype,role,prefix,suffix,displaydate_y,beginyear,endyear,country,medium,creditline,dimensions,site,room,publicaccess,description,unitposition,iiifurl,iiifthumburl
4482,164024,The Miner,Sculpture,32825,1904,Constantin Meunier,"Meunier, Constantin","Belgian, 1831 - 1905",Belgian,Belgian,1,artist,sculptor,,,,,,,glazed stoneware in period wood frame,Gift of Mary L. Levkoff,"overall: 17.15 × 21.91 cm (6 3/4 × 8 5/8 in.)
framed: 23.18 × 25.08 cm (9 1/8 × 9 7/8 in.)",West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/7e0e1854-d39a-4347-b181-e1fb18b9c1d3,"https://api.nga.gov/iiif/7e0e1854-d39a-4347-b181-e1fb18b9c1d3/full/!200,200/0/default.jpg"
4482,132513,Head of Mrs. John Peter Russell (Marianna Mattiocco della Torre),Sculpture,2251,model 1888,Auguste Rodin,"Rodin, Auguste","French, 1840 - 1917",French,French,1,artist,sculptor,,,,,,,bronze,Gift of Elizabeth L. Klee,height: 35 cm (13 3/4 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/36a5e83e-8381-46f6-a785-7a00f1aa8ef7,"https://api.nga.gov/iiif/36a5e83e-8381-46f6-a785-7a00f1aa8ef7/full/!200,200/0/default.jpg"
4482,112663,Pair of Wooden Shoes (Sabots) [left],Sculpture,1330,1889/1890,Paul Gauguin,"Gauguin, Paul","French, 1848 - 1903",French,French,1,artist,artist,,,,,,,"polychromed oak, leather, and iron nails",Chester Dale Collection,overall: 12.9 x 32.7 x 11.3 cm (5 1/16 x 12 7/8 x 4 7/16 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/44a731a9-e900-4898-a282-01034fcaa6ca,"https://api.nga.gov/iiif/44a731a9-e900-4898-a282-01034fcaa6ca/full/!200,200/0/default.jpg"
4482,51137,Mlle Dominique Jeanès,Sculpture,2085,1925,Charles Despiau,"Despiau, Charles","French, 1874 - 1946",French,French,1,artist,artist,,,,,,,terracotta,Gift of Angelika Wertheim Frink,overall: 23 x 12.6 x 13.9 cm (9 1/16 x 4 15/16 x 5 1/2 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/5598f471-043c-4adc-9203-c0192a4694c5,"https://api.nga.gov/iiif/5598f471-043c-4adc-9203-c0192a4694c5/full/!200,200/0/default.jpg"
4482,141007,Société Royale Belge des Aquarellistes 1856-1906,Sculpture,32825,"model 1904, cast probably 1906",Constantin Meunier,"Meunier, Constantin","Belgian, 1831 - 1905",Belgian,Belgian,1,artist,artist,,,,,,,copper,Gift of Mark and Lynne Hammerschlag in honor of Nicholas Penny,overall: 8.5 x 7.6 cm (3 3/8 x 3 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/b18c37ac-e300-4b47-94fe-7a2ac5dda8eb,"https://api.nga.gov/iiif/b18c37ac-e300-4b47-94fe-7a2ac5dda8eb/full/!200,200/0/default.jpg"
4482,46502,Madame Alexandre Kohler,Painting,1330,1887/1888,Paul Gauguin,"Gauguin, Paul","French, 1848 - 1903",French,French,1,artist,painter,,,,,,,oil on linen,Chester Dale Collection,"overall: 46.3 x 38 cm (18 1/4 x 14 15/16 in.)
framed: 61.6 x 52.7 cm (24 1/4 x 20 3/4 in.)",West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/659b932c-1ffb-4b6b-806e-c095d9ff10f4,"https://api.nga.gov/iiif/659b932c-1ffb-4b6b-806e-c095d9ff10f4/full/!200,200/0/default.jpg"
4482,46714,Pair of Wooden Shoes (Sabots) [right],Sculpture,1330,1889/1890,Paul Gauguin,"Gauguin, Paul","French, 1848 - 1903",French,French,1,artist,artist,,,,,,,"polychromed oak, leather, and iron nails",Chester Dale Collection,overall: 12.8 x 32.7 x 11.2 cm (5 1/16 x 12 7/8 x 4 7/16 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/d1b72e2d-e88a-4949-a4db-a373ab226376,"https://api.nga.gov/iiif/d1b72e2d-e88a-4949-a4db-a373ab226376/full/!200,200/0/default.jpg"
4482,150774,Medallion for the Pennsylvania Academy of the Fine Arts,Sculpture,34843,probably 1893,Jean-Baptiste Daniel-Dupuis,"Daniel-Dupuis, Jean-Baptiste","French, 1849 - 1899",French,French,1,artist,artist,,,,,,,high tin-content bronze,Mark and Lynne Hammerschlag Fund in honor of Nicholas Penny,overall (diameter): 27.7 cm (10 7/8 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/f75b70cf-9857-470b-878c-9590d9180548,"https://api.nga.gov/iiif/f75b70cf-9857-470b-878c-9590d9180548/full/!200,200/0/default.jpg"
8463,118611,Self-Portrait as a Lute Player,Painting,25213,c. 1637/1638,Jan Miense Molenaer,"Molenaer, Jan Miense","Dutch, c. 1610 - 1668",Dutch,Dutch,1,artist,painter,,,,,,,oil on panel,The Lee and Juliet Folger Fund,overall: 38.7 x 32.4 cm (15 1/4 x 12 3/4 in.),West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/9cbdd768-889a-4f1e-aba1-c7a5f9ca728b,"https://api.nga.gov/iiif/9cbdd768-889a-4f1e-aba1-c7a5f9ca728b/full/!200,200/0/default.jpg"
8463,161648,The Alchemist,Painting,3486,1663,Cornelis Bega,"Bega, Cornelis","Dutch, 1631/1632 - 1664",Dutch,Dutch,1,artist,artist,,,,,,,oil on canvas mounted on panel,From the Collection of Ethel and Martin Wunsch,overall: 35 × 28.6 cm (13 3/4 × 11 1/4 in.),West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/fed44c43-1de2-41ed-98cd-5dc35f39d20a,"https://api.nga.gov/iiif/fed44c43-1de2-41ed-98cd-5dc35f39d20a/full/!200,200/0/default.jpg"
8463,106946,Bust of a Bearded Man,Painting,1239,c. 1642/1645,Gerrit Dou,"Dou, Gerrit","Dutch, 1613 - 1675",Dutch,Dutch,1,artist,painter,,,,,,,oil on panel,Corcoran Collection (William A. Clark Collection),"overall (oval): 18.41 × 14.92 cm (7 1/4 × 5 7/8 in.)
framed: 34 x 30.2 x 5.4 cm (13 3/8 x 11 7/8 x 2 1/8 in.)",West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/0290c78e-7432-48f6-889a-378e9862fe15,"https://api.nga.gov/iiif/0290c78e-7432-48f6-889a-378e9862fe15/full/!200,200/0/default.jpg"
8463,128004,Self-Portrait in the Studio,Painting,27868,c. 1645,Gillis van Tilborgh the Younger,"Tilborgh the Younger, Gillis van","Flemish, c. 1625 - c. 1678",Flemish,Flemish,1,artist,painter,,,,,,,oil on panel,Gift of Otto Naumann and Heidi Shafranek,overall: 10.8 x 8.9 cm (4 1/4 x 3 1/2 in.),West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/fac6fde2-18ab-413a-ad65-4c48ad5cf8d9,"https://api.nga.gov/iiif/fac6fde2-18ab-413a-ad65-4c48ad5cf8d9/full/!200,200/0/default.jpg"
6635,218815,"Country store on dirt road. Sunday afternoon. Note the kerosene pump on the right and the gasoline pump on the left. Rough, unfinished timber posts have been used as supports for porch roof. Negro men are sitting on the porch. Brother of store owner stands in doorway, Gordonton, North Carolina",Photograph,44358,"July 1939, printed later",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24.5 × 34.3 cm (9 5/8 × 13 1/2 in.)
sheet: 25.6 × 35.4 cm (10 1/16 × 13 15/16 in.)",West Building,G-033,1,West Ground Floor Gallery 33,S,https://api.nga.gov/iiif/346b9dc8-7ed4-4e3d-8d59-86a04f462080,"https://api.nga.gov/iiif/346b9dc8-7ed4-4e3d-8d59-86a04f462080/full/!200,200/0/default.jpg"
