locationid,TypesofArt,Amount,site,room,publicaccess,description,unitposition,objectid,title_x,displaydate_x,creditline_x,classification_x,iiifthumburl,constituentid,displayorder,role,visualbrowsernationality,forwarddisplayname,visualbrowsernationality.1,title_y,beginyear,medium,creditline_y,classification_y
8332,painting,1,West Building,M-029,1,West Main Floor Gallery 29,E,46151,Saint Jerome and the Angel,c. 1622/1625,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/8cb10467-fce1-444c-8412-168ec845b730/full/!200,200/0/default.jpg",1959,1,painter,French,Simon Vouet,French,Saint Jerome and the Angel,1622,oil on canvas,Samuel H. Kress Collection,Painting
8332,painting,1,West Building,M-029,1,West Main Floor Gallery 29,E,332,Saint Sebastian,c. 1620/1630,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/5da649ea-4e91-4331-b7b8-d84e32aaabf4/full/!200,200/0/default.jpg",1921,1,artist,Italian,Tanzio da Varallo,Italian,Saint Sebastian,1620,oil on canvas,Samuel H. Kress Collection,Painting
8332,painting,1,West Building,M-029,1,West Main Floor Gallery 29,E,72037,The Martyrdom of Saint Bartholomew,1634,Gift of the 50th Anniversary Gift Committee,Painting,"https://api.nga.gov/iiif/f68cac7e-19ef-43fb-bd0c-43df04602173/full/!200,200/0/default.jpg",5343,1,artist,Spanish,Jusepe de Ribera,Spanish,The Martyrdom of Saint Bartholomew,1634,oil on canvas,Gift of the 50th Anniversary Gift Committee,Painting
8332,painting,1,West Building,M-029,1,West Main Floor Gallery 29,E,118846,Saint Francis in Prayer,c. 1620/1630,Gift of Joseph F. McCrindle,Painting,"https://api.nga.gov/iiif/4819cafa-fa8e-445c-b594-58ba885443aa/full/!200,200/0/default.jpg",1910,1,artist,Italian,Bernardo Strozzi,Italian,Saint Francis in Prayer,1620,oil on canvas,Gift of Joseph F. McCrindle,Painting
8333,painting,1,West Building,M-029,1,West Main Floor Gallery 29,N,46119,Cardinal Francesco Cennini,1625,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/6f4d6afd-4968-4508-b730-f90c89e9d53c/full/!200,200/0/default.jpg",1364,1,painter,Italian,Guercino,Italian,Cardinal Francesco Cennini,1625,oil on canvas,Samuel H. Kress Collection,Painting
8333,painting,1,West Building,M-029,1,West Main Floor Gallery 29,N,46140,Bishop Alvise Grimani,1633 or after,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/fb07738a-9b03-4bd1-8f3a-04d291e8d062/full/!200,200/0/default.jpg",1910,1,artist,Italian,Bernardo Strozzi,Italian,Bishop Alvise Grimani,1633,oil on canvas,Samuel H. Kress Collection,Painting
8334,painting,1,West Building,M-029,1,West Main Floor Gallery 29,S,121887,The Ecstasy of the Magdalen,1616/1620,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/51da5b8c-98f9-4cba-8186-515a3cbb1f75/full/!200,200/0/default.jpg",2696,1,painter,Italian,Giulio Cesare Procaccini,Italian,The Ecstasy of the Magdalen,1616,oil on canvas,Patrons' Permanent Fund,Painting
8335,painting,1,West Building,M-029,1,West Main Floor Gallery 29,W,46434,The Lute Player,c. 1612/1620,Ailsa Mellon Bruce Fund,Painting,"https://api.nga.gov/iiif/adb08b6e-f3db-4d07-b538-7c704548adb9/full/!200,200/0/default.jpg",1332,1,artist,Italian,Orazio Gentileschi,Italian,The Lute Player,1612,oil on canvas,Ailsa Mellon Bruce Fund,Painting
8335,painting,1,West Building,M-029,1,West Main Floor Gallery 29,W,107315,Soldiers Playing Cards and Dice (The Cheats),c. 1618/1620,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/cbcf2fc9-cd57-4132-a2f8-89ede31cfe1a/full/!200,200/0/default.jpg",19114,1,painter,French,Valentin de Boulogne,French,Soldiers Playing Cards and Dice (The Cheats),1618,oil on canvas,Patrons' Permanent Fund,Painting
8335,painting,1,West Building,M-029,1,West Main Floor Gallery 29,W,46172,Saint Cecilia and an Angel,c. 1617/1618 and c. 1621/1627,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/d8d0df0b-2006-41f0-b111-b3981ac66be5/full/!200,200/0/default.jpg",1332,1,painter,Italian,Orazio Gentileschi,Italian,Saint Cecilia and an Angel,1617,oil on canvas,Samuel H. Kress Collection,Painting
8352,painting,1,West Building,M-033,1,West Main Floor Gallery 33,E,66775,Amnon and Tamar,1649-1650,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/2fac6801-cfcd-463c-b6e3-5ebf5d124cbe/full/!200,200/0/default.jpg",1364,1,painter,Italian,Guercino,Italian,Amnon and Tamar,1649,oil on canvas,Patrons' Permanent Fund,Painting
8352,painting,1,West Building,M-033,1,West Main Floor Gallery 33,E,66776,Joseph and Potiphar's Wife,1649,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/a6111b5c-d149-475c-a669-5d5f74d04a54/full/!200,200/0/default.jpg",1364,1,painter,Italian,Guercino,Italian,Joseph and Potiphar's Wife,1649,oil on canvas,Patrons' Permanent Fund,Painting
8353,painting,1,West Building,M-033,1,West Main Floor Gallery 33,N,41673,River Landscape,c. 1590,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/0e373a5e-718d-40a2-bc6b-47be1812459b/full/!200,200/0/default.jpg",1096,1,artist,Italian,Annibale Carracci,Italian,River Landscape,1590,oil on canvas,Samuel H. Kress Collection,Painting
8353,painting,1,West Building,M-033,1,West Main Floor Gallery 33,N,111718,The Rebuke of Adam and Eve,1626,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/3c055a39-8158-4498-9178-74147a5fd385/full/!200,200/0/default.jpg",3941,1,painter,Italian,Domenichino,Italian,The Rebuke of Adam and Eve,1626,oil on canvas,Patrons' Permanent Fund,Painting
